distribution,n,budget,eta,exact,greedy,beam,balanced,weighted,greedy_absolute_objective_gap,beam_absolute_objective_gap,greedy_relative_objective_gap,beam_relative_objective_gap
hot_tail,8,1,0.30,2.981818,2.981818,2.981818,3.000000,3.236364,0.000000,0.000000,0.000000,0.000000
hot_tail,8,2,0.00,2.454545,2.454545,2.454545,3.000000,2.454545,0.000000,0.000000,0.000000,0.000000
hot_tail,8,2,0.15,2.686364,2.686364,2.686364,3.000000,2.836364,0.000000,0.000000,0.000000,0.000000
hot_tail,8,2,0.30,2.918182,2.918182,2.918182,3.000000,3.218182,0.000000,0.000000,0.000000,0.000000
hot_tail,8,3,0.00,2.363636,2.454545,2.363636,3.000000,2.454545,0.090909,0.000000,0.038462,0.000000
hot_tail,8,3,0.15,2.686364,2.686364,2.686364,3.000000,2.836364,0.000000,0.000000,0.000000,0.000000
hot_tail,8,3,0.30,2.918182,2.918182,2.918182,3.000000,3.218182,0.000000,0.000000,0.000000,0.000000
hot_tail,8,4,0.00,2.363636,2.454545,2.363636,3.000000,2.454545,0.090909,0.000000,0.038462,0.000000
hot_tail,8,4,0.15,2.686364,2.686364,2.686364,3.000000,2.836364,0.000000,0.000000,0.000000,0.000000
hot_tail,8,4,0.30,2.918182,2.918182,2.918182,3.000000,3.218182,0.000000,0.000000,0.000000,0.000000
hot_tail,12,1,0.00,3.242424,3.242424,3.242424,4.000000,3.545455,0.000000,0.000000,0.000000,0.000000
hot_tail,12,1,0.15,3.356061,3.356061,3.356061,4.000000,3.763636,0.000000,0.000000,0.000000,0.000000
hot_tail,12,1,0.30,3.469697,3.469697,3.469697,4.000000,3.981818,0.000000,0.000000,0.000000,0.000000
hot_tail,12,2,0.00,3.000000,3.242424,3.000000,4.000000,3.000000,0.242424,0.000000,0.080808,0.000000
hot_tail,12,2,0.15,3.300000,3.356061,3.300000,4.000000,3.300000,0.056061,0.000000,0.016988,0.000000
hot_tail,12,2,0.30,3.469697,3.469697,3.469697,4.000000,3.600000,0.000000,0.000000,0.000000,0.000000
hot_tail,12,3,0.00,2.969697,3.242424,2.969697,4.000000,3.000000,0.272727,0.000000,0.091837,0.000000
hot_tail,12,3,0.15,3.300000,3.356061,3.300000,4.000000,3.300000,0.056061,0.000000,0.016988,0.000000
hot_tail,12,3,0.30,3.469697,3.469697,3.469697,4.000000,3.600000,0.000000,0.000000,0.000000,0.000000
hot_tail,12,4,0.00,2.909091,3.242424,2.909091,3.757576,3.000000,0.333333,0.000000,0.114583,0.000000
hot_tail,12,4,0.15,3.300000,3.356061,3.300000,3.793939,3.300000,0.056061,0.000000,0.016988,0.000000
hot_tail,12,4,0.30,3.469697,3.469697,3.469697,3.830303,3.600000,0.000000,0.000000,0.000000,0.000000
hot_tail,16,1,0.00,3.545455,3.545455,3.545455,4.000000,3.909091,0.000000,0.000000,0.000000,0.000000
hot_tail,16,1,0.15,3.763636,3.763636,3.763636,4.000000,4.072727,0.000000,0.000000,0.000000,0.000000
hot_tail,16,1,0.30,3.981818,3.981818,3.981818,4.000000,4.236364,0.000000,0.000000,0.000000,0.000000
hot_tail,16,2,0.00,3.454545,3.454545,3.454545,4.000000,3.727273,0.000000,-0.000000,0.000000,-0.000000
hot_tail,16,2,0.15,3.686364,3.686364,3.686364,4.000000,3.918182,0.000000,0.000000,0.000000,0.000000
hot_tail,16,2,0.30,3.918182,3.918182,3.918182,4.000000,4.109091,0.000000,0.000000,0.000000,0.000000
hot_tail,16,3,0.00,3.363636,3.454545,3.363636,4.000000,3.727273,0.090909,0.000000,0.027027,0.000000
hot_tail,16,3,0.15,3.686364,3.686364,3.686364,4.000000,4.068182,0.000000,0.000000,0.000000,0.000000
hot_tail,16,3,0.30,3.918182,3.918182,3.918182,4.000000,4.409091,0.000000,0.000000,0.000000,0.000000
hot_tail,16,4,0.00,3.363636,3.454545,3.363636,4.000000,3.727273,0.090909,-0.000000,0.027027,-0.000000
hot_tail,16,4,0.15,3.609091,3.686364,3.686364,4.000000,4.068182,0.077273,0.077273,0.021411,0.021411
hot_tail,16,4,0.30,3.854545,3.918182,3.918182,4.000000,4.409091,0.063636,0.063636,0.016509,0.016509
hot_tail,20,1,0.00,3.836364,3.836364,3.836364,5.000000,4.690909,0.000000,0.000000,0.000000,0.000000
hot_tail,20,1,0.15,4.010909,4.010909,4.010909,5.000000,4.887273,0.000000,0.000000,0.000000,0.000000
hot_tail,20,1,0.30,4.185455,4.185455,4.185455,5.000000,5.083636,0.000000,0.000000,0.000000,0.000000
hot_tail,20,2,0.00,3.672727,3.672727,3.672727,5.000000,3.818182,0.000000,0.000000,0.000000,0.000000
hot_tail,20,2,0.15,4.010909,4.010909,4.010909,5.000000,4.145455,0.000000,0.000000,0.000000,0.000000
hot_tail,20,2,0.30,4.185455,4.185455,4.185455,5.000000,4.472727,0.000000,0.000000,0.000000,0.000000
hot_tail,20,3,0.00,3.672727,3.672727,3.672727,5.000000,3.672727,0.000000,0.000000,0.000000,0.000000
hot_tail,20,3,0.15,4.010909,4.010909,4.010909,5.000000,4.021818,0.000000,0.000000,0.000000,0.000000
hot_tail,20,3,0.30,4.185455,4.185455,4.185455,5.000000,4.370909,0.000000,0.000000,0.000000,0.000000
hot_tail,20,4,0.00,3.672727,3.672727,3.672727,4.709091,3.672727,0.000000,0.000000,0.000000,0.000000
hot_tail,20,4,0.15,4.010909,4.010909,4.010909,4.752727,4.021818,0.000000,0.000000,0.000000,0.000000
hot_tail,20,4,0.30,4.185455,4.185455,4.185455,4.796364,4.370909,0.000000,0.000000,0.000000,0.000000
hot_tail,24,1,0.00,4.242424,4.242424,4.242424,5.000000,4.545455,0.000000,0.000000,0.000000,0.000000
hot_tail,24,1,0.15,4.356061,4.356061,4.356061,5.000000,4.763636,0.000000,0.000000,0.000000,0.000000
hot_tail,24,1,0.30,4.469697,4.469697,4.469697,5.000000,4.981818,0.000000,0.000000,0.000000,0.000000
hot_tail,24,2,0.00,4.000000,4.242424,4.000000,5.000000,4.287879,0.242424,0.000000,0.060606,0.000000
