distribution,n,budget,eta,solver,objective,average_cost,max_cost,time_ms,quality_gap_vs_exact
zipf,16,2,0.15,beam,3.792860,3.579836,5.000000,2.197750,0.000000
zipf,16,2,0.15,greedy,3.868587,3.668926,5.000000,0.189958,0.075727
zipf,16,2,0.15,balanced,4.000000,4.000000,4.000000,0.007125,0.207140
zipf,16,2,0.15,weighted,3.826683,3.619627,5.000000,0.011000,0.033823
zipf,16,2,0.30,exact,4.000000,4.000000,4.000000,0.707209,0.000000
zipf,16,2,0.30,beam,4.000000,4.000000,4.000000,2.219875,0.000000
zipf,16,2,0.30,greedy,4.000000,4.000000,4.000000,0.086667,0.000000
zipf,16,2,0.30,balanced,4.000000,4.000000,4.000000,0.007041,0.000000
zipf,16,2,0.30,weighted,4.033739,3.619627,5.000000,0.010917,0.033739
zipf,16,3,0.00,exact,3.496380,3.496380,5.000000,2.522292,0.000000
zipf,16,3,0.00,beam,3.496380,3.496380,5.000000,4.748708,0.000000
zipf,16,3,0.00,greedy,3.504765,3.504765,6.000000,0.314750,0.008385
zipf,16,3,0.00,balanced,4.000000,4.000000,4.000000,0.009042,0.503620
zipf,16,3,0.00,weighted,3.628012,3.628012,6.000000,0.014625,0.131633
zipf,16,3,0.15,exact,3.721923,3.496380,5.000000,2.528875,0.000000
zipf,16,3,0.15,beam,3.721923,3.496380,5.000000,4.779166,0.000000
zipf,16,3,0.15,greedy,3.868587,3.668926,5.000000,0.191667,0.146665
zipf,16,3,0.15,balanced,4.000000,4.000000,4.000000,0.009166,0.278077
zipf,16,3,0.15,weighted,3.983810,3.628012,6.000000,0.014167,0.261888
zipf,16,3,0.30,exact,3.947466,3.496380,5.000000,2.516250,0.000000
zipf,16,3,0.30,beam,3.947466,3.496380,5.000000,4.750334,0.000000
zipf,16,3,0.30,greedy,4.000000,4.000000,4.000000,0.086875,0.052534
zipf,16,3,0.30,balanced,4.000000,4.000000,4.000000,0.009083,0.052534
zipf,16,3,0.30,weighted,4.339609,3.628012,6.000000,0.014292,0.392143
zipf,16,4,0.00,exact,3.456588,3.456588,5.000000,5.429792,0.000000
zipf,16,4,0.00,beam,3.456588,3.456588,5.000000,7.547667,0.000000
zipf,16,4,0.00,greedy,3.504765,3.504765,6.000000,0.448042,0.048177
zipf,16,4,0.00,balanced,4.000000,4.000000,4.000000,0.010833,0.543412
zipf,16,4,0.00,weighted,3.628012,3.628012,6.000000,0.014625,0.171424
zipf,16,4,0.15,exact,3.688100,3.456588,5.000000,5.697666,0.000000
zipf,16,4,0.15,beam,3.688100,3.456588,5.000000,7.693125,0.000000
zipf,16,4,0.15,greedy,3.868587,3.668926,5.000000,0.192875,0.180487
zipf,16,4,0.15,balanced,4.000000,4.000000,4.000000,0.011125,0.311900
zipf,16,4,0.15,weighted,3.983810,3.628012,6.000000,0.015125,0.295711
zipf,16,4,0.30,exact,3.919612,3.456588,5.000000,5.648708,0.000000
zipf,16,4,0.30,beam,3.919612,3.456588,5.000000,7.751750,0.000000
zipf,16,4,0.30,greedy,4.000000,4.000000,4.000000,0.086958,0.080388
zipf,16,4,0.30,balanced,4.000000,4.000000,4.000000,0.010500,0.080388
zipf,16,4,0.30,weighted,4.339609,3.628012,6.000000,0.014500,0.419997
zipf,20,2,0.00,exact,3.804177,3.804177,6.000000,1.077875,0.000000
zipf,20,2,0.00,beam,3.804177,3.804177,6.000000,3.132166,0.000000
zipf,20,2,0.00,greedy,3.841865,3.841865,5.000000,0.254167,0.037689
zipf,20,2,0.00,balanced,5.000000,5.000000,5.000000,0.007417,1.195823
zipf,20,2,0.00,weighted,4.193310,4.193310,6.000000,0.011833,0.389133
zipf,20,2,0.15,exact,3.988022,3.809438,5.000000,1.066917,0.000000
zipf,20,2,0.15,beam,3.988022,3.809438,5.000000,3.134500,0.000000
zipf,20,2,0.15,greedy,4.015586,3.841865,5.000000,0.254291,0.027564
zipf,20,2,0.15,balanced,5.000000,5.000000,5.000000,0.007667,1.011978
zipf,20,2,0.15,weighted,4.464314,4.193310,6.000000,0.011791,0.476292
zipf,20,2,0.30,exact,4.166606,3.809438,5.000000,1.079500,0.000000
zipf,20,2,0.30,beam,4.166606,3.809438,5.000000,3.116334,0.000000
zipf,20,2,0.30,greedy,4.189306,3.841865,5.000000,0.257416,0.022699
zipf,20,2,0.30,balanced,5.000000,5.000000,5.000000,0.007875,0.833394
zipf,20,2,0.30,weighted,4.735317,4.193310,6.000000,0.012708,0.568711
zipf,20,3,0.00,exact,3.726052,3.726052,5.000000,4.502833,0.000000
zipf,20,3,0.00,beam,3.726052,3.726052,5.000000,6.588166,0.000000
zipf,20,3,0.00,greedy,3.841865,3.841865,5.000000,0.256875,0.115813
zipf,20,3,0.00,balanced,5.000000,5.000000,5.000000,0.009417,1.273948
zipf,20,3,0.00,weighted,3.947455,3.947455,6.000000,0.015416,0.221403
zipf,20,3,0.15,exact,3.917144,3.726052,5.000000,4.355375,0.000000
zipf,20,3,0.15,beam,3.917144,3.726052,5.000000,6.571042,0.000000
zipf,20,3,0.15,greedy,4.015586,3.841865,5.000000,0.256083,0.098441
