distribution,n,budget,eta,candidate_limit,exact_objective,restricted_objective,beam_objective,candidate_pruning_gap,beam_truncation_gap,total_gap,decomposition_residual
uniform,12,4,0.3,16,3.7666666666666666,3.7666666666666666,3.766666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,12,4,0.3,32,3.7666666666666666,3.7666666666666666,3.766666666667,0.0,3.33510996597397e-13,3.33510996597397e-13,0.0
uniform,16,2,0.0,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.0,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.0,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.0,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.15,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.15,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.15,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.15,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.3,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.3,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.3,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,2,0.3,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.0,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.0,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.0,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.0,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.15,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.15,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.15,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.15,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.3,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.3,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.3,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,3,0.3,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.0,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.0,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.0,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.0,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.15,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.15,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.15,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.15,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.3,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.3,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.3,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,16,4,0.3,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
uniform,20,2,0.0,4,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,2,0.0,8,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,2,0.0,16,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,2,0.0,32,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,2,0.15,4,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,2,0.15,8,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,2,0.15,16,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,2,0.15,32,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,2,0.3,4,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,2,0.3,8,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,2,0.3,16,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,2,0.3,32,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,3,0.0,4,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,3,0.0,8,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,3,0.0,16,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,3,0.0,32,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,3,0.15,4,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,3,0.15,8,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,3,0.15,16,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,3,0.15,32,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,3,0.3,4,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,3,0.3,8,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,3,0.3,16,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,3,0.3,32,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,4,0.0,4,4.4,4.4,4.4,0.0,0.0,0.0,0.0
